positive  	{'Negative Emotion': 0, 'Positive Emotion': 15.0, 'liwc:positive': 1, 'UNI_awesome': 0.05, 'UNI_place': 0.05, 'UNI_eat': 0.05, 'UNI_friendly': 0.05, 'UNI_service': 0.05, 'UNI_i': 0.05, 'UNI_would': 0.05, 'UNI_return': 0.05, 'UNI_anytime': 0.05, 'UNI_tuesdays': 0.05, 'UNI_live': 0.05, 'UNI_music': 0.05, 'UNI_ca': 0.05, "UNI_n't": 0.05, 'UNI_beat': 0.05, 'UNI_the': 0.05, 'UNI_food': 0.05, 'UNI_great': 0.05, 'UNI_drinks': 0.05, 'UNI_strong': 0.05}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 11.764705882352942, 'liwc:positive': 1, 'UNI_absolutely': 0.058823529411764705, 'UNI_fantastic': 0.058823529411764705, 'UNI_not': 0.058823529411764705, 'UNI_food': 0.058823529411764705, 'UNI_delish': 0.058823529411764705, 'UNI_portions': 0.058823529411764705, 'UNI_tremendous': 0.058823529411764705, 'UNI_the': 0.058823529411764705, 'UNI_attention': 0.058823529411764705, 'UNI_detail': 0.058823529411764705, 'UNI_make': 0.058823529411764705, 'UNI_place': 0.058823529411764705, 'UNI_truly': 0.058823529411764705, 'UNI_new': 0.058823529411764705, 'UNI_york': 0.058823529411764705, 'UNI_style': 0.058823529411764705, 'UNI_wonderful': 0.058823529411764705}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 6.666666666666667, 'liwc:positive': 1, 'UNI_star': 0.034482758620689655, 'UNI_much': 0.034482758620689655, 'UNI_look': 0.034482758620689655, 'UNI_loud': 0.034482758620689655, 'UNI_busy': 0.034482758620689655, 'UNI_come': 0.034482758620689655, 'UNI_sensational': 0.034482758620689655, 'UNI_food': 0.034482758620689655, 'UNI_you': 0.034482758620689655, 'UNI_also': 0.034482758620689655, 'UNI_take-out': 0.034482758620689655, 'UNI_avoid': 0.034482758620689655, 'UNI_crowds': 0.034482758620689655, 'UNI_dinner': 0.034482758620689655, 'UNI_time': 0.034482758620689655, 'UNI_delicious': 0.034482758620689655, 'UNI_thin': 0.034482758620689655, 'UNI_crust': 0.034482758620689655, 'UNI_pizza': 0.034482758620689655, 'UNI_best': 0.034482758620689655, 'UNI_baked': 0.034482758620689655, 'UNI_ziti': 0.034482758620689655, 'UNI_linquini': 0.034482758620689655, 'UNI_w/': 0.034482758620689655, 'UNI_clam': 0.034482758620689655, 'UNI_sauce': 0.034482758620689655, 'UNI_i': 0.034482758620689655, 'UNI_ever': 0.034482758620689655, 'UNI_eaten': 0.034482758620689655}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 25.0, 'liwc:positive': 1, 'UNI_awesome': 0.25, 'UNI_thai': 0.25, 'UNI_chicken': 0.25, 'UNI_wrap': 0.25}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.695652173913043, 'liwc:positive': 1, 'UNI_when': 0.043478260869565216, 'UNI_first': 0.043478260869565216, 'UNI_arrived': 0.043478260869565216, 'UNI_sceptical': 0.043478260869565216, 'UNI_place': 0.043478260869565216, 'UNI_bussy': 0.043478260869565216, 'UNI_time': 0.08695652173913043, 'UNI_seated': 0.043478260869565216, 'UNI_15': 0.043478260869565216, 'UNI_minutes': 0.043478260869565216, 'UNI_reservation': 0.043478260869565216, 'UNI_desswrt': 0.043478260869565216, 'UNI_treated': 0.043478260869565216, 'UNI_great': 0.043478260869565216, 'UNI_waiter': 0.043478260869565216, 'UNI_personable': 0.043478260869565216, 'UNI_food': 0.043478260869565216, 'UNI_die': 0.043478260869565216, 'UNI_we': 0.043478260869565216, 'UNI_happy': 0.043478260869565216, 'UNI_would': 0.043478260869565216, 'UNI_return': 0.043478260869565216}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 10.81081081081081, 'liwc:positive': 1, 'UNI_dining': 0.027777777777777776, 'UNI_absolute': 0.027777777777777776, 'UNI_joy': 0.027777777777777776, 'UNI_made': 0.027777777777777776, 'UNI_exciting': 0.027777777777777776, 'UNI_fact': 0.027777777777777776, 'UNI_i': 0.05555555555555555, 'UNI_taken': 0.027777777777777776, 'UNI_leave': 0.027777777777777776, 'UNI_senses': 0.027777777777777776, 'UNI_earlier': 0.027777777777777776, 'UNI_day': 0.027777777777777776, 'UNI_whilst': 0.027777777777777776, 'UNI_listening': 0.027777777777777776, 'UNI_crotch-tuppingly': 0.027777777777777776, 'UNI_rocking': 0.027777777777777776, 'UNI_album': 0.027777777777777776, 'UNI_david': 0.027777777777777776, 'UNI_sings': 0.027777777777777776, 'UNI_america': 0.027777777777777776, 'UNI_great': 0.05555555555555555, 'UNI_duvet': 0.027777777777777776, 'UNI_humptyshuft': 0.027777777777777776, 'UNI_baywatch': 0.027777777777777776, 'UNI_burger': 0.027777777777777776, 'UNI_pleasantly': 0.027777777777777776, 'UNI_meaty': 0.027777777777777776, 'UNI_the': 0.027777777777777776, 'UNI_hot': 0.027777777777777776, 'UNI_shot': 0.027777777777777776, 'UNI_city': 0.027777777777777776, 'UNI_cocktail': 0.027777777777777776, 'UNI_particularly': 0.027777777777777776, 'UNI_good..': 0.027777777777777776}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 1.7857142857142858, 'liwc:positive': 1, 'UNI_the': 0.044642857142857144, 'UNI_black': 0.044642857142857144, 'UNI_bear': 0.044642857142857144, 'UNI_diner': 0.044642857142857144, 'UNI_like': 0.008928571428571428, 'UNI_tell': 0.017857142857142856, 'UNI_moment': 0.008928571428571428, 'UNI_enter': 0.008928571428571428, 'UNI_restaurant': 0.008928571428571428, 'UNI_see': 0.008928571428571428, 'UNI_cool': 0.008928571428571428, 'UNI_theme': 0.008928571428571428, 'UNI_menus': 0.008928571428571428, 'UNI_printed': 0.008928571428571428, 'UNI_1927': 0.008928571428571428, 'UNI_edition': 0.008928571428571428, 'UNI_newspaper': 0.017857142857142856, 'UNI_apparently': 0.008928571428571428, 'UNI_sponsored': 0.008928571428571428, 'UNI_carmel': 0.008928571428571428, 'UNI_pine': 0.008928571428571428, 'UNI_cone': 0.008928571428571428, 'UNI_local': 0.008928571428571428, 'UNI_owned': 0.008928571428571428, 'UNI_couple': 0.008928571428571428, 'UNI_close': 0.008928571428571428, 'UNI_personal': 0.008928571428571428, 'UNI_friends': 0.008928571428571428, 'UNI_mine': 0.008928571428571428, 'UNI_paul': 0.008928571428571428, 'UNI_miller': 0.008928571428571428, 'UNI_kirstie': 0.008928571428571428, 'UNI_wilde': 0.008928571428571428, 'UNI_philosophy': 0.008928571428571428, 'UNI_six': 0.008928571428571428, 'UNI_credos': 0.008928571428571428, 'UNI_number': 0.008928571428571428, 'UNI_4': 0.008928571428571428, 'UNI_states': 0.008928571428571428, 'UNI_if': 0.008928571428571428, "UNI_n't": 0.017857142857142856, 'UNI_say': 0.008928571428571428, 'UNI_wow': 0.017857142857142856, 'UNI_food': 0.017857142857142856, 'UNI_arrives': 0.008928571428571428, 'UNI_either': 0.008928571428571428, 'UNI_ordered': 0.008928571428571428, 'UNI_toast': 0.008928571428571428, 'UNI_chef': 0.008928571428571428, 'UNI_flashback': 0.008928571428571428, 'UNI_days': 0.008928571428571428, 'UNI_working': 0.008928571428571428, 'UNI_somewhere': 0.008928571428571428, 'UNI_else': 0.008928571428571428, 'UNI_i': 0.0625, 'UNI_paraphrased': 0.008928571428571428, 'UNI_to': 0.008928571428571428, 'UNI_truth': 0.008928571428571428, 'UNI_intention': 0.008928571428571428, 'UNI_saying': 0.008928571428571428, 'UNI_arrived': 0.008928571428571428, 'UNI_guess': 0.008928571428571428, 'UNI_choice': 0.008928571428571428, 'UNI_offers': 0.008928571428571428, 'UNI_large': 0.008928571428571428, 'UNI_portions': 0.017857142857142856, 'UNI_they': 0.008928571428571428, 'UNI_skimp': 0.008928571428571428, 'UNI_flavor': 0.008928571428571428, 'UNI_doggie': 0.008928571428571428, 'UNI_bag': 0.008928571428571428, 'UNI_needed': 0.008928571428571428, 'UNI_least': 0.008928571428571428, 'UNI_case': 0.008928571428571428, 'UNI_cleaned': 0.008928571428571428, 'UNI_plate': 0.008928571428571428, 'UNI_serves': 0.008928571428571428, 'UNI_breakfast': 0.008928571428571428, 'UNI_lunch': 0.008928571428571428, 'UNI_dinner': 0.008928571428571428, 'UNI_know': 0.008928571428571428, 'UNI_dear': 0.008928571428571428, 'UNI_shall': 0.008928571428571428, 'UNI_return': 0.008928571428571428}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 3.0303030303030303, 'liwc:positive': 1, 'UNI_well': 0.030303030303030304, 'UNI_seated': 0.030303030303030304, 'UNI_back': 0.030303030303030304, 'UNI_room': 0.030303030303030304, 'UNI_group': 0.030303030303030304, 'UNI_14': 0.030303030303030304, 'UNI_first': 0.030303030303030304, 'UNI_music': 0.030303030303030304, 'UNI_loud': 0.030303030303030304, 'UNI_another': 0.030303030303030304, 'UNI_thing': 0.030303030303030304, 'UNI_getting': 0.030303030303030304, 'UNI_foods': 0.030303030303030304, 'UNI_buffet': 0.030303030303030304, 'UNI_area': 0.030303030303030304, 'UNI_employees': 0.030303030303030304, 'UNI_carrying': 0.030303030303030304, 'UNI_around': 0.030303030303030304, 'UNI_hot': 0.030303030303030304, 'UNI_food': 0.06060606060606061, 'UNI_brushed': 0.030303030303030304, 'UNI_on': 0.030303030303030304, 'UNI_positive': 0.030303030303030304, 'UNI_note': 0.030303030303030304, 'UNI_excellent': 0.030303030303030304, 'UNI_price': 0.030303030303030304, 'UNI_reasonable': 0.030303030303030304, 'UNI_i': 0.030303030303030304, 'UNI_would': 0.030303030303030304, 'UNI_recommend': 0.030303030303030304, 'UNI_restaurant': 0.030303030303030304, 'UNI_anyone': 0.030303030303030304}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 3.4246575342465753, 'liwc:positive': 1, 'UNI_we': 0.013888888888888888, 'UNI_found': 0.006944444444444444, 'UNI_restaurant': 0.006944444444444444, 'UNI_accident': 0.006944444444444444, 'UNI_it': 0.006944444444444444, 'UNI_located': 0.006944444444444444, 'UNI_route': 0.006944444444444444, 'UNI_46': 0.006944444444444444, 'UNI_passaic': 0.006944444444444444, 'UNI_avenue': 0.006944444444444444, 'UNI_little': 0.006944444444444444, 'UNI_falls': 0.006944444444444444, 'UNI_road': 0.006944444444444444, 'UNI_when': 0.006944444444444444, 'UNI_called': 0.006944444444444444, 'UNI_reservations': 0.006944444444444444, 'UNI_told': 0.006944444444444444, 'UNI_bring': 0.006944444444444444, 'UNI_wine': 0.013888888888888888, 'UNI_aria': 0.006944444444444444, 'UNI_byob': 0.006944444444444444, 'UNI_the': 0.013888888888888888, 'UNI_sounds': 0.006944444444444444, 'UNI_live': 0.006944444444444444, 'UNI_piano': 0.006944444444444444, 'UNI_ambiance': 0.006944444444444444, 'UNI_beautiful': 0.006944444444444444, 'UNI_tuscan': 0.006944444444444444, 'UNI_villa': 0.006944444444444444, 'UNI_elegant': 0.006944444444444444, 'UNI_immediately': 0.006944444444444444, 'UNI_served': 0.013888888888888888, 'UNI_wonderful': 0.013888888888888888, 'UNI_warm': 0.013888888888888888, 'UNI_bread': 0.013888888888888888, 'UNI_complementary': 0.006944444444444444, 'UNI_bruschetta': 0.006944444444444444, 'UNI_menu': 0.006944444444444444, 'UNI_many': 0.006944444444444444, 'UNI_appetizers': 0.013888888888888888, 'UNI_20': 0.006944444444444444, 'UNI_entrees': 0.013888888888888888, 'UNI_waiter': 0.006944444444444444, 'UNI_gave': 0.006944444444444444, 'UNI_us': 0.006944444444444444, 'UNI_quite': 0.013888888888888888, 'UNI_list': 0.006944444444444444, 'UNI_specials': 0.006944444444444444, 'UNI_for': 0.006944444444444444, 'UNI_enjoyed': 0.006944444444444444, 'UNI_eggplant': 0.006944444444444444, 'UNI_mozzarella': 0.020833333333333332, 'UNI_timbale': 0.006944444444444444, 'UNI_tomato': 0.013888888888888888, 'UNI_fondue': 0.006944444444444444, 'UNI_fresh': 0.020833333333333332, 'UNI_buffalo': 0.006944444444444444, 'UNI_roasted': 0.006944444444444444, 'UNI_pepper': 0.006944444444444444, 'UNI_crispy': 0.006944444444444444, 'UNI_pan-fried': 0.006944444444444444, 'UNI_mixed': 0.006944444444444444, 'UNI_seafood': 0.013888888888888888, 'UNI_salad': 0.020833333333333332, 'UNI_all': 0.013888888888888888, 'UNI_excellent': 0.006944444444444444, 'UNI_large': 0.006944444444444444, 'UNI_i': 0.006944444444444444, 'UNI_arugula': 0.006944444444444444, 'UNI_gorgonzola': 0.006944444444444444, 'UNI_cheese': 0.006944444444444444, 'UNI_pears': 0.006944444444444444, 'UNI_walnuts': 0.006944444444444444, 'UNI_balsamic': 0.006944444444444444, 'UNI_vinagrette': 0.006944444444444444, 'UNI_delicious': 0.013888888888888888, 'UNI_simple': 0.006944444444444444, 'UNI_penne': 0.006944444444444444, 'UNI_arrabbiata': 0.006944444444444444, 'UNI_chicken': 0.027777777777777776, 'UNI_marsala': 0.013888888888888888, 'UNI_scaloppini': 0.006944444444444444, 'UNI_wild': 0.006944444444444444, 'UNI_mushroom': 0.006944444444444444, 'UNI_sauce': 0.020833333333333332, 'UNI_paillard': 0.006944444444444444, 'UNI_paper': 0.006944444444444444, 'UNI_thin': 0.006944444444444444, 'UNI_breast': 0.006944444444444444, 'UNI_grilled': 0.006944444444444444, 'UNI_drizzled': 0.006944444444444444, 'UNI_herb': 0.006944444444444444, 'UNI_olive': 0.006944444444444444, 'UNI_oil': 0.006944444444444444, 'UNI_favorite': 0.006944444444444444, 'UNI_baked': 0.006944444444444444, 'UNI_salmon': 0.006944444444444444, 'UNI_blackened': 0.006944444444444444, 'UNI_bathed': 0.006944444444444444, 'UNI_almond': 0.006944444444444444, 'UNI_horseradish': 0.006944444444444444, 'UNI_bed': 0.006944444444444444, 'UNI_fennel': 0.006944444444444444, 'UNI_coffee': 0.006944444444444444, 'UNI_cappucino': 0.006944444444444444, 'UNI_espresso': 0.006944444444444444, 'UNI_dessert': 0.006944444444444444, 'UNI_including': 0.006944444444444444, 'UNI_cheesecake': 0.006944444444444444, 'UNI_strawberries': 0.006944444444444444, 'UNI_tartufo': 0.006944444444444444, 'UNI_exceptional': 0.006944444444444444, 'UNI_tri-colored': 0.006944444444444444, 'UNI_mousse': 0.006944444444444444, 'UNI_finished': 0.006944444444444444, 'UNI_delightful': 0.006944444444444444, 'UNI_dining': 0.006944444444444444, 'UNI_experience': 0.006944444444444444}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 10.869565217391305, 'liwc:positive': 1, 'UNI_we': 0.021739130434782608, 'UNI_eaten': 0.021739130434782608, 'UNI_homestead': 0.021739130434782608, 'UNI_maybe': 0.021739130434782608, 'UNI_five': 0.021739130434782608, 'UNI_times': 0.021739130434782608, 'UNI_it': 0.043478260869565216, 'UNI_totally': 0.021739130434782608, 'UNI_surprising': 0.021739130434782608, 'UNI_find': 0.021739130434782608, 'UNI_restaurant': 0.021739130434782608, 'UNI_quality': 0.021739130434782608, 'UNI_huntsville': 0.043478260869565216, 'UNI_you': 0.021739130434782608, 'UNI_would': 0.021739130434782608, 'UNI_expect': 0.021739130434782608, 'UNI_something': 0.021739130434782608, 'UNI_fine': 0.021739130434782608, 'UNI_houston': 0.021739130434782608, 'UNI_everything': 0.021739130434782608, 'UNI_tried': 0.021739130434782608, 'UNI_fantastic': 0.021739130434782608, 'UNI_do': 0.021739130434782608, 'UNI_come': 0.021739130434782608, 'UNI_big': 0.021739130434782608, 'UNI_rush': 0.043478260869565216, 'UNI_perfect': 0.021739130434782608, 'UNI_way': 0.021739130434782608, 'UNI_spend': 0.021739130434782608, 'UNI_relaxing': 0.021739130434782608, 'UNI_evening': 0.021739130434782608, 'UNI_dining': 0.021739130434782608, 'UNI_they': 0.021739130434782608, 'UNI_never': 0.021739130434782608, 'UNI_try': 0.021739130434782608, 'UNI_hurry': 0.021739130434782608, 'UNI_along': 0.021739130434782608, 'UNI_great': 0.021739130434782608, 'UNI_place': 0.021739130434782608, 'UNI_eat': 0.021739130434782608, 'UNI_drink': 0.021739130434782608, 'UNI_talk': 0.021739130434782608, 'UNI_friends': 0.021739130434782608}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 12.5, 'liwc:positive': 1, 'UNI_we': 0.041666666666666664, 'UNI_great': 0.041666666666666664, 'UNI_experience': 0.041666666666666664, 'UNI_thai': 0.041666666666666664, 'UNI_restaurant': 0.08333333333333333, 'UNI_the': 0.041666666666666664, 'UNI_menu': 0.041666666666666664, 'UNI_many': 0.08333333333333333, 'UNI_items': 0.041666666666666664, 'UNI_service': 0.041666666666666664, 'UNI_efficient': 0.041666666666666664, 'UNI_despite': 0.041666666666666664, 'UNI_customers': 0.041666666666666664, 'UNI_lunch': 0.041666666666666664, 'UNI_weekday': 0.041666666666666664, 'UNI_this': 0.041666666666666664, 'UNI_air': 0.041666666666666664, 'UNI_authenticity': 0.041666666666666664, 'UNI_pleasant': 0.041666666666666664, 'UNI_finally': 0.041666666666666664, 'UNI_food': 0.041666666666666664, 'UNI_delicious': 0.041666666666666664}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 14.814814814814815, 'liwc:positive': 1, 'UNI_great': 0.037037037037037035, 'UNI_food': 0.07407407407407407, 'UNI_good': 0.037037037037037035, 'UNI_prices': 0.037037037037037035, 'UNI_i': 0.07407407407407407, 'UNI_highly': 0.037037037037037035, 'UNI_recommend': 0.037037037037037035, 'UNI_many': 0.037037037037037035, 'UNI_chinese': 0.037037037037037035, 'UNI_restraunts': 0.037037037037037035, 'UNI_area': 0.037037037037037035, 'UNI_one': 0.037037037037037035, 'UNI_still': 0.037037037037037035, 'UNI_favorite': 0.037037037037037035, 'UNI_the': 0.037037037037037035, 'UNI_decore': 0.037037037037037035, 'UNI_nothing': 0.037037037037037035, 'UNI_special': 0.037037037037037035, 'UNI_staff': 0.037037037037037035, 'UNI_friendly': 0.037037037037037035, 'UNI_helpful': 0.037037037037037035, 'UNI_makes': 0.037037037037037035, 'UNI_definately': 0.037037037037037035, 'UNI_worth': 0.037037037037037035, 'UNI_visit': 0.037037037037037035}
